Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
treasureQuest_001SousChefOTA_doughs,Quest,Challenge Info,,,"Bloody map",,,,,,,,,,,,,,
treasureQuest_001OfferSousChefOTA_doughs,Quest,Challenge Info,,,"[8e2929]To whom it may concern. I have[-] taken my remaining items of high val[8e2929]ue and buried them her[-]e, not too deeply. I have been [8e2929]bitten so my labors have g[-]one to waste. I hope these things wi[8e2929]ll buy you time. I pla[-]n only to watch the sun set.",,,,,,,,,,,,,,
treasureMap_002SousChefOTA_doughs,items,Quest - Treasure Map,,,"Scribbled map",,,,,,,,,,,,,,
treasureMap_002SousChefOTA_doughsDesc,items,Quest - Treasure Map,,,"A map that looks like it was made in haste. The pencil tears the paper in a few places, but it is legible.",,,,,,,,,,,,,,
treasureQuest_002SousChefOTA_doughs,Quest,Challenge Info,,,"Scribbled Map",,,,,,,,,,,,,,
treasureQuest_002OfferSousChefOTA_doughs,Quest,Challenge Info,,,"(It is a hastily made map, with some markers on terrain and a northern point. An arrow points from some text.)\nHere is the last of what I hold dear. I no longer can tempt myself by holding it. Do what you will. I am done.",,,,,,,,,,,,,,
cntTreasureChest001SousChefOTA_doughs,blocks,Quest,,,"Cache",,,,,,,,,,,,,,
cntTreasureChest001SousChefOTA_doughsDesc,blocks,Quest,,,"Target 001 for the SousChefOTA treasure quest",,,,,,,,,,,,,,
cntTreasureChest001InsecureSousChefOTA_doughs,blocks,Quest,,,"Open Cache",,,,,,,,,,,,,,
cntTreasureChest002SousChefOTA_doughs,blocks,Quest,,,"Cache",,,,,,,,,,,,,,
cntTreasureChest002SousChefOTA_doughsDesc,blocks,Quest,,,"Target 002 for the SousChefOTA treasure quest",,,,,,,,,,,,,,
cntTreasureChest002InsecureSousChefOTA_doughs,blocks,Quest,,,"OpenCache",,,,,,,,,,,,,,
drinkTopShelfWine001_doughs,items,Food,,,"Champagne",,,,,,,,,,,,,,
drinkTopShelfWine001_doughsDesc,items,Food,,,"The most iconic sparkling wine in the world! A blend of grapes including Chardonnay, Pinot Noir, and Pinot Meunier.\nWhy not keep this around for the few good times you have left?",,,,,,,,,,,,,,
drinkTopShelfWine002_doughs,items,Food,,,"Bordeaux",,,,,,,,,,,,,,
drinkTopShelfWine002_doughsDesc,items,Food,,,"A red wine made with Merlot and Cabernet Sauvignon. You do not recognize anything on the label as you are uncultured swine. But this will do pig. This will do.",,,,,,,,,,,,,,
drinkTopShelfWine003_doughs,items,Food,,,"Malbec",,,,,,,,,,,,,,
drinkTopShelfWine003_doughsDesc,items,Food,,,"Malbec wines exhibit flavors of juicy red and purple fruits, and, similar to most other red wines, are slightly high in alcohol.",,,,,,,,,,,,,,
drinkTopShelfWine004_doughs,items,Food,,,"Riesling",,,,,,,,,,,,,,
drinkTopShelfWine004_doughsDesc,items,Food,,,"A deliciously refreshing aromatic white wine. This could go with anything",,,,,,,,,,,,,,
foodRaspberryJam_doughs,items,Food,,,"Raspberry Jam",,,,,,,,,,,,,,
foodRaspberryJam_doughsDesc,items,Food,,,"A small unopened container of raspberry jam. WOW. Its like holding the sun in your calloused and battered hands. As someone once said: The world is full of magic things, patiently waiting for our senses to grow sharper.",,,,,,,,,,,,,,
foodFlourAlmond_doughs,items,Food,,,"Almond Flour",,,,,,,,,,,,,,
foodFlourAlmond_doughsDesc,items,Food,,,"Nothing special about this almond flour other than how hard it is to come by.  You al-mondst didn't see it in the box.",,,,,,,,,,,,,,
foodChocolateBar_doughs,items,Food,,,"NavezBury Wispa Gold",,,,,,,,,,,,,,
foodChocolateBar_doughsDesc,items,Food,,,"A NavezBury Wispa Gold Chocolate Bar. This used to be worth a lot but now its worth its weight in gold, which is kinda useless nowadays. Still, you could melt this down ... do a little dance ... make a litle love.",,,,,,,,,,,,,,
foodChocolateTruffle_doughs,items,Food,,,"Chocolate Truffle",,,,,,,,,,,,,,
foodChocolateTruffle_doughsDesc,items,Food,,,"You could have done more with this but ... its so simple you feel it is best to keep it that way. An indulgence in a world filled with rotting corpses and entrail piles. Now you think about it you could really use a bath. A candle lit bath perhaps?",,,,,,,,,,,,,,
foodVanillaExtract_doughs,items,Food,,,"Vanilla Extract",,,,,,,,,,,,,,
foodVanillaExtract_doughsDesc,items,Food,,,"Due to its high alcohol content you don't see this much anymore, though chugging this tiny bottle is not recommended. To think how vanilla used to be a plain flavor and now its almost literally the only special flavor.",,,,,,,,,,,,,,
foodMacaronRaspberry_doughs,items,Food,,,"Raspberry Macaron",,,,,,,,,,,,,,
foodMacaronRaspberry_doughsDesc,items,Food,,,"A delicate little thing.",,,,,,,,,,,,,,
paperNoteBaseSousChefOTA_doughs,items,Item,,,"Hallmarp Card",,,,,,,,,,,,,,
paperNoteBaseSousChefOTA_doughsDesc,items,Item,,,"Have a nice day!",,,,,,,,,,,,,,
parcelBaseSousChefOTA_doughs,items,Item,,,"A Gift",,,,,,,,,,,,,,
parcelBaseSousChefOTA_doughsDesc,items,Item,,,"A Handmade gift from a local [96E244]Sous Chef[-]. It looks to be made with care by skilled hands. There isn't even any dried zombie goo on it or anything!",,,,,,,,,,,,,,
parcel001NoteSousChefOTA_doughs,items,Item,,,"Hallmarp Card",,,,,,,,,,,,,,
parcel001NoteSousChefOTA_doughsDesc,items,Item,,,"neibor i foun your dog. open door i bring dog to u. he so sad bein away. open smol bit an let dog in please. i jus concernd Neibor,\nPardy Grrrrrrrrrl",,,,,,,,,,,,,,
parcel001SousChefOTA_doughs,items,Item,,,"A Gift",,,,,,,,,,,,,,
parcel002NoteSousChefOTA_doughs,items,Item,,,"Hallmarp Card",,,,,,,,,,,,,,
parcel002NoteSousChefOTA_doughsDesc,items,Item,,,"Peoples in fort. regerttably door not opening\npleas let us in\npromises do better and make less mess. of you. of your place. not like last time. or time before that\nCerely,\nHoodie Fren.\n\np.s.No shooting pleas",,,,,,,,,,,,,,
parcel002SousChefOTA_doughs,items,Item,,,"A Gift",,,,,,,,,,,,,,
parcel003NoteSousChefOTA_doughs,items,Item,,,"Hallmarp Card",,,,,,,,,,,,,,
parcel003NoteSousChefOTA_doughsDesc,items,Item,,,"Two whum it may concern,\nDeer Tasty human. I hav been outside for two day. Far two long. is very cold here an I hungry... for warm hug. I see warm you inside yes? Jus hope we can put past behinud us and have big hug.\nWaiting patently,\nYoure Bes Fren,\nMoe",,,,,,,,,,,,,,
parcel003SousChefOTA_doughs,items,Item,,,"A Gift",,,,,,,,,,,,,,
parcel004NoteSousChefOTA_doughs,items,Item,,,"Hallmarp Card",,,,,,,,,,,,,,
parcel004NoteSousChefOTA_doughsDesc,items,Item,,,"Pleas like box of food\nI make speial fore u\nMaybee u come outside\nAnd I eat u too?\nBes Wishees\nZombi Fren",,,,,,,,,,,,,,
parcel004SousChefOTA_doughs,items,Item,,,"A Gift",,,,,,,,,,,,,,
parcel005NoteSousChefOTA_doughs,items,Item,,,"Hallmarp Card",,,,,,,,,,,,,,
parcel005NoteSousChefOTA_doughsDesc,items,Item,,,"Helloe,\nHerez is gift\nI hope you ... dying ... to get it.\nha ha u getdit.\nLuv,\nZombie Fren",,,,,,,,,,,,,,
parcel005SousChefOTA_doughs,items,Item,,,"A Gift",,,,,,,,,,,,,,
parcelZedBaseSousChefOTA_doughsDesc,items,Item,,,"A ...err...handmade gift from a local ... friend? It looks to be made without care by unskilled hands. There is a lot of dried zombie goo on it. But .. its the thought that counts.",,,,,,,,,,,,,,
parcel006ZedSousChefOTA_doughs,items,Item,,,"Gift 4 u",,,,,,,,,,,,,,
parcel007ZedSousChefOTA_doughs,items,Item,,,"Gift 4 u",,,,,,,,,,,,,,
parcel008ZedSousChefOTA_doughs,items,Item,,,"Gift 4 u",,,,,,,,,,,,,,
parcel009ZedSousChefOTA_doughs,items,Item,,,"Gift 4 u",,,,,,,,,,,,,,
parcel010ZedSousChefOTA_doughs,items,Item,,,"Gift 4 u",,,,,,,,,,,,,,
foodDehydratorSousChefOTA_doughs,blocks,Workstation,,,"Food Dehydrator",,,,,,,,,,,,,,
foodDehydratorSousChefOTA_doughsDesc,blocks,Workstation,,,"A Food Dehydrator will help dry foods and ingredients. The smell of drying food can carry a small risk of zombie detection.\n\nRepair with Wood, Cloth, and Nails",,,,,,,,,,,,,,
foodDehydratorSousChefOTA_doughsTip,Journal Tip,,,,"The Food Dehydrator is used to craft dried foods and dry ingredients.\nTo craft recipes here you must have all ingredients in your inventory.\nHold E to pick up Workstations within your land claim area.",,,,,,,,,,,,,,
foodDehydratorSousChefOTA_doughsTip,Journal Tip,,,,"The Food Dehydrator is used to craft dried foods and dry ingredients.\nTo craft recipes here you must have all ingredients in your inventory.\nHold E to pick up Workstations within your land claim area.",,,,,,,,,,,,,,
foodDehydratorSousChefOTA_doughsTip_title,Journal Tip,,,,"Food Dehydrator",,,,,,,,,,,,,,
lblContextActionfoodDehydratorSousChefOTA_doughs,UI,Item Context Menu,,,"Dry",,,,,,,,,,,,,,
lblCategoryfoodDehydratorSousChefOTA_doughs,UI,Tooltip,,,"Food Dehydrator",,,,,,,,,,,,,,
plantedTerragon3HarvestTip_doughs,Journal Tip,,,,"Wild terragon is not easy to find. Maybe making a hydroponics station and growing it there would make life easier?\nYou like a good adventure challenge but ... you also have zombies hunting you. Hmmm... if you could only train zombies to hunt terragon for you. Maybe later.",,,,,,,,,,,,,,
plantedTerragon3HarvestTip_doughs_title,Journal Tip,,,,"Wild terragon",,,,,,,,,,,,,,
plantedChives3HarvestTip_doughs,Journal Tip,,,,"Wild chives are not easy to find. Making a hydroponics station to grow them sounds like a grand idea.\nProbably the best idea you had since your chive hunting autonomous drone didn't pan out. Damn think kept bringing back wild onions!",,,,,,,,,,,,,,
plantedChives3HarvestTip_doughs_title,Journal Tip,,,,"Wild chives",,,,,,,,,,,,,,
